HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Ensembl ID(supplied by Ensembl)
HGNC:20154	ABHD4	abhydrolase domain containing 4		FLJ12816	ENSG00000100439
HGNC:21396	ABHD5	abhydrolase domain containing 5		CGI-58, NCIE2	ENSG00000011198
HGNC:21398	ABHD6	abhydrolase domain containing 6			ENSG00000163686
HGNC:23759	ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512	ENSG00000127220
HGNC:25656	ABHD10	abhydrolase domain containing 10		FLJ11342	ENSG00000144827
HGNC:16407	ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	ENSG00000106077
HGNC:15868	ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	ENSG00000100997
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	ENSG00000131969
HGNC:20293	ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	ENSG00000139826
HGNC:24538	ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1	ENSG00000248487
HGNC:28235	ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB	ENSG00000114779
HGNC:26971	ABHD15	abhydrolase domain containing 15			ENSG00000168792
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	BAT5	NG26, D6S82E	ENSG00000204427
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	ENSG00000183260
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	MGC5244	ENSG00000129968
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	CGI-67	ENSG00000107362
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	FAM108C1		ENSG00000136379
HGNC:26111	ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	ENSG00000164074
HGNC:11320	ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1	ENSG00000136754
HGNC:24011	ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	ENSG00000138443
HGNC:29859	ABI3	ABI family member 3		NESH, SSH3BP3	ENSG00000108798
HGNC:17265	ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH	ENSG00000154175
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150	ENSG00000097007
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	ENSG00000143322
HGNC:78	ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin	ENSG00000099204
HGNC:19195	ABLIM2	actin binding LIM protein family member 2		KIAA1808	ENSG00000163995
HGNC:29132	ABLIM3	actin binding LIM protein family member 3		KIAA0843	ENSG00000173210
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		A3GALNT, A3GALT1	ENSG00000175164
HGNC:81	ABR	ABR, RhoGEF and GTPase activating protein		MDB	ENSG00000159842
HGNC:30655	ABRA	actin binding Rho activating protein		STARS	ENSG00000174429
HGNC:21230	ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars	ENSG00000146386
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	ENSG00000163322
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	ENSG00000165660
HGNC:17369	ABT1	activator of basal transcription 1		Esf2	ENSG00000146109
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21	ENSG00000114626
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A	ENSG00000166016
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1			ENSG00000060971
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2		DSAEC	ENSG00000167315
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1	ENSG00000278540
HGNC:85	ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB	ENSG00000076555
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8			ENSG00000151498
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452	ENSG00000177646
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	ENSG00000111271
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	ENSG00000240303
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain		LCAD, ACAD4	ENSG00000115361
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain		MCAD, MCADH, ACAD1	ENSG00000117054
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain		SCAD, ACAD3	ENSG00000122971
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain		SBCAD, ACAD7	ENSG00000196177
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain		VLCAD, LCACD, ACAD6	ENSG00000072778
HGNC:319	ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	ENSG00000157766
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050	ENSG00000072818
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2	ENSG00000114331
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716	ENSG00000131584
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	ENSG00000075239
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2			ENSG00000120437
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	ENSG00000182827
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4		FLJ13322	ENSG00000181513
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996	ENSG00000107897
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6		MGC2404	ENSG00000230124
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2	ENSG00000176244
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS	ENSG00000110455
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			ENSG00000205126
HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor		Ptop, Pip1, Tpp1, Tint1	ENSG00000102977
HGNC:2707	ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	ENSG00000159640
HGNC:13557	ACE2	angiotensin I converting enzyme 2			ENSG00000130234
HGNC:18356	ACER1	alkaline ceramidase 1	ASAH3		ENSG00000167769
HGNC:23675	ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587, ALKCDase2	ENSG00000177076
HGNC:16066	ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	ENSG00000078124
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	YT		ENSG00000087085
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	ENSG00000100813
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	ENSG00000213088
HGNC:1565	ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9	ENSG00000144648
HGNC:23692	ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159	ENSG00000144476
HGNC:1611	ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	ENSG00000129048
HGNC:115	ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	ENSG00000131473
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase			ENSG00000153086
HGNC:117	ACO1	aconitase 1	IREB1	IRP1, IREBP	ENSG00000122729
HGNC:118	ACO2	aconitase 2		ACONM	ENSG00000100412
HGNC:33904	ACOD1	aconitate decarboxylase 1	IRG1	CAD	ENSG00000102794
HGNC:33128	ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2	ENSG00000184227
HGNC:18431	ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128	ENSG00000119673
HGNC:19748	ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B	ENSG00000177465
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	C14orf42		ENSG00000205669
HGNC:24157	ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	ENSG00000097021
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1	ENSG00000101473
HGNC:17152	ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2	ENSG00000123130
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	ENSG00000162390
HGNC:24436	ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15	ENSG00000172497
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	ENSG00000112304
HGNC:119	ACOX1	acyl-CoA oxidase 1		PALMCOX	ENSG00000161533
HGNC:120	ACOX2	acyl-CoA oxidase 2		BRCACOX, BRCOX, THCCox	ENSG00000168306
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl			ENSG00000087008
HGNC:25621	ACOXL	acyl-CoA oxidase like		FLJ11042	ENSG00000153093
HGNC:122	ACP1	acid phosphatase 1		HAAP, LMW-PTP, LMWPTP	ENSG00000143727
HGNC:123	ACP2	acid phosphatase 2, lysosomal		LAP	ENSG00000134575
HGNC:14376	ACP4	acid phosphatase 4	ACPT		ENSG00000142513
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant		TRAP, HPAP	ENSG00000102575
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1	ENSG00000162836
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)		FLJ16165, PAPL1, PAPL	ENSG00000183760
HGNC:125	ACPP	acid phosphatase, prostate		ACP3, ACP-3, PAP	ENSG00000014257
HGNC:126	ACR	acrosin			ENSG00000100312
HGNC:17195	ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23	ENSG00000111644
HGNC:127	ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365	ENSG00000134940
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	ENSG00000103740
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635	ENSG00000130377
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW	ENSG00000167107
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3			ENSG00000176715
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	ENSG00000151726
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	ACS3, PRO2194	ENSG00000123983
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4	ENSG00000068366
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	ACS5, ACS2	ENSG00000197142
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2	ENSG00000164398
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1	ENSG00000166743
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	A-923A4.1, MGC150530	ENSG00000183747
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	HXMA, HYST1046	ENSG00000066813
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA	ENSG00000005187
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4			ENSG00000215009
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5		FLJ20581	ENSG00000183549
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	bA310E22.3	ENSG00000173124
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	ENSG00000154930
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	ENSG00000131069
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3		FLJ21963	ENSG00000111058
HGNC:129	ACTA1	actin, alpha 1, skeletal muscle	ACTA	NEM3	ENSG00000143632
HGNC:130	ACTA2	actin, alpha 2, smooth muscle, aorta		ACTSA	ENSG00000107796
HGNC:132	ACTB	actin beta			ENSG00000075624
HGNC:17780	ACTBL2	actin, beta like 2		DKFZp686D0972	ENSG00000169067
HGNC:143	ACTC1	actin, alpha, cardiac muscle 1	ACTC	CMD1R	ENSG00000159251
HGNC:144	ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26		ENSG00000184009
HGNC:145	ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3	ACTSG	ENSG00000163017
HGNC:24124	ACTL6A	actin like 6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	ENSG00000136518
HGNC:160	ACTL6B	actin like 6B	ACTL6	BAF53B	ENSG00000077080
HGNC:161	ACTL7A	actin like 7A			ENSG00000187003
HGNC:162	ACTL7B	actin like 7B		Tact1	ENSG00000148156
HGNC:24018	ACTL8	actin like 8		CT57	ENSG00000117148
HGNC:28494	ACTL9	actin like 9		MGC33407	ENSG00000181786
HGNC:16127	ACTL10	actin like 10	C20orf134		ENSG00000182584
HGNC:163	ACTN1	actinin alpha 1			ENSG00000072110
HGNC:164	ACTN2	actinin alpha 2			ENSG00000077522
HGNC:165	ACTN3	actinin alpha 3 (gene/pseudogene)			ENSG00000248746
HGNC:166	ACTN4	actinin alpha 4	FSGS1		ENSG00000130402
HGNC:167	ACTR1A	ARP1 actin related protein 1 homolog A		ARP1, Arp1A	ENSG00000138107
HGNC:168	ACTR1B	ARP1 actin related protein 1 homolog B	CTRN2	Arp1B	ENSG00000115073
HGNC:169	ACTR2	ARP2 actin related protein 2 homolog		ARP2	ENSG00000138071
HGNC:170	ACTR3	ARP3 actin related protein 3 homolog		ARP3	ENSG00000115091
HGNC:17256	ACTR3B	ARP3 actin related protein 3 homolog B		ARP11, ARP3beta	ENSG00000133627
HGNC:37282	ACTR3C	ARP3 actin related protein 3 homolog C		ARP11	ENSG00000106526
HGNC:14671	ACTR5	ARP5 actin related protein 5 homolog		FLJ12785, Arp5, INO80M	ENSG00000101442
HGNC:24025	ACTR6	ARP6 actin related protein 6 homolog		ARP6, FLJ13433	ENSG00000075089
HGNC:14672	ACTR8	ARP8 actin related protein 8 homolog		INO80N	ENSG00000113812
HGNC:17372	ACTR10	actin related protein 10 homolog		HARP11, ACTR11, Arp11, Arp10	ENSG00000131966
HGNC:24027	ACTRT1	actin related protein T1		AIP1, KIAA0705, ARIP1, Arp-T1	ENSG00000123165
HGNC:24026	ACTRT2	actin related protein T2		Arp-T2, ARPM2, FLJ25424	ENSG00000169717
HGNC:24022	ACTRT3	actin related protein T3		ARPM1	ENSG00000184378
HGNC:171	ACVR1	activin A receptor type 1	ACVRLK2	SKR1, ALK2, ACVR1A	ENSG00000115170
HGNC:172	ACVR1B	activin A receptor type 1B	ACVRLK4	ALK4, SKR2, ActRIB	ENSG00000135503
HGNC:18123	ACVR1C	activin A receptor type 1C		ALK7, ACVRLK7	ENSG00000123612
HGNC:173	ACVR2A	activin A receptor type 2A	ACVR2	ACTRII	ENSG00000121989
HGNC:174	ACVR2B	activin A receptor type 2B		ActR-IIB	ENSG00000114739
HGNC:175	ACVRL1	activin A receptor like type 1	ACVRLK1, ORW2	HHT2, ALK1, HHT	ENSG00000139567
HGNC:177	ACY1	aminoacylase 1			ENSG00000243989
HGNC:24104	ACY3	aminoacylase 3		HCBP1, MGC9740, ACY-3	ENSG00000132744
HGNC:179	ACYP1	acylphosphatase 1			ENSG00000119640
HGNC:180	ACYP2	acylphosphatase 2			ENSG00000170634
HGNC:186	ADA	adenosine deaminase			ENSG00000196839
HGNC:1839	ADA2	adenosine deaminase 2	IDGFL, CECR1	ADGF	ENSG00000093072
HGNC:30713	ADAD1	adenosine deaminase domain containing 1		Tenr	ENSG00000164113
HGNC:30714	ADAD2	adenosine deaminase domain containing 2		TENRL, FLJ00337	ENSG00000140955
HGNC:31853	ADAL	adenosine deaminase like			ENSG00000168803
HGNC:198	ADAM2	ADAM metallopeptidase domain 2	FTNB	PH-30b, PH30, CT15	ENSG00000104755
HGNC:214	ADAM7	ADAM metallopeptidase domain 7		GP-83, EAPI	ENSG00000069206
HGNC:215	ADAM8	ADAM metallopeptidase domain 8		CD156, MS2, CD156a	ENSG00000151651
HGNC:216	ADAM9	ADAM metallopeptidase domain 9	CORD9	MDC9, KIAA0021, MCMP, Mltng	ENSG00000168615
HGNC:188	ADAM10	ADAM metallopeptidase domain 10		kuz, MADM, HsT18717, CD156c	ENSG00000137845
HGNC:189	ADAM11	ADAM metallopeptidase domain 11	MDC		ENSG00000073670
HGNC:190	ADAM12	ADAM metallopeptidase domain 12		MCMPMltna, MLTN	ENSG00000148848
HGNC:193	ADAM15	ADAM metallopeptidase domain 15		MDC15	ENSG00000143537
HGNC:195	ADAM17	ADAM metallopeptidase domain 17	TACE	cSVP, CD156B	ENSG00000151694
HGNC:196	ADAM18	ADAM metallopeptidase domain 18		tMDCIII, ADAM27	ENSG00000168619
HGNC:197	ADAM19	ADAM metallopeptidase domain 19		MLTNB	ENSG00000135074
HGNC:199	ADAM20	ADAM metallopeptidase domain 20			ENSG00000134007
HGNC:200	ADAM21	ADAM metallopeptidase domain 21		ADAM31	ENSG00000139985
HGNC:201	ADAM22	ADAM metallopeptidase domain 22		MDC2	ENSG00000008277
HGNC:202	ADAM23	ADAM metallopeptidase domain 23		MDC3	ENSG00000114948
HGNC:206	ADAM28	ADAM metallopeptidase domain 28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	ENSG00000042980
HGNC:207	ADAM29	ADAM metallopeptidase domain 29		svph1, CT73	ENSG00000168594
HGNC:208	ADAM30	ADAM metallopeptidase domain 30		svph4	ENSG00000134249
HGNC:15479	ADAM32	ADAM metallopeptidase domain 32			ENSG00000197140
HGNC:15478	ADAM33	ADAM metallopeptidase domain 33	C20orf153	DKFZp434K0521, dJ964F7.1	ENSG00000149451
HGNC:16299	ADAMDEC1	ADAM like decysin 1		M12.219	ENSG00000134028
